Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F23000268,ΧΥΜΟΣ ΜΗΛΟ VIVA 12ΤΕΜ (1L),Carton,25.500 ,
F2300018,ΧΥΜΟΣ ΜΠΑΝΑΝΑ AMITA 12ΤΕΜ (1L),Carton,12.000 ,
F2300025,ΧΥΜΟΣ ΡΟΔΑΚΙΝΟ AMITA 12ΤΕΜ (1L),Carton,12.000 ,
F2300188,ΧΥΜΟΣ ΤΟΜΑΤΑΣ BRITVIC MIXERS ΦΙΑΛΗ ΜΙΑΣ ΧΡΗΣΕΩΣ (200ML),Bottles,24.000 ,
F2300115,ΧΥΜΟΣ ΤΟΜΑΤΑΣ PAGO (200ML),Bottles,29.000 ,
F2300114,ΧΥΜΟΣ ΦΡΑΟΥΛΑ PAGO (200ML),Bottles,36.000 ,
F23100314,BOIRON RASPBERRY PUREE TETRA PACK (1L),Carton,1.000 ,
F23100303,PUREE MANGO TETRA PACK BOIRON (1L),Carton,2.000 ,
F23100305,PUREE PINEAPPLE TETRA PACK BOIRON (1L),Carton,2.000 ,
F2310138,PUREE PONTHIER PASSION FRUIT (1KG),Kilogram,2.000 ,
F2310139,PUREE PONTHIER PEACH WHITE (1KG),Kilogram,1.400 ,
F2310137,PUREE PONTHIER PINEAPPLE (1KG),Kilogram,1.000 ,
F24002247,FRANCE COS D'ESTOURNEL MEDOC G CABERNET SAUVIGNON ΕΡΥΘΡΟ 2019 (750ML),Bottles,2.000 ,
F2400410,FRANCE DROUHIN VONSE ROMANEE 2013 ΕΡΥΘΡΟ (750ML),Bottles,0.600 ,
F2401205,FRANCE LOUIS JADOT BOURGOGNE PINOT NOIR ΕΡΥΘΡΟ (750ML),Bottles,0.800 ,
F2400097,LA TOUR MELAS CYRUS ONE CABERNET FRANC - MERLOT ΕΡΥΘΡΟ (750ML),Bottles,0.600 ,
F2400515,ΑΛΦΑ PINOT NOIR ΕΡΥΘΡΟ (750ML),Bottles,4.000 ,
